MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,CRS_DEP_TIME,DEP_DELAY_NEW
8,2,OO,HPN,705,0.0
8,2,OO,HPN,1630,0.0
8,2,OO,HPN,1200,0.0
8,2,B6,JFK,807,0.0
8,2,B6,JFK,1321,14.0
8,2,9E,JFK,1155,0.0
8,2,9E,JFK,900,0.0
8,2,9E,JFK,1459,12.0
8,2,DL,LGA,1200,0.0
8,2,DL,LGA,1830,0.0
8,2,DL,LGA,600,0.0
8,2,DL,LGA,730,0.0
8,2,DL,LGA,2045,0.0
8,2,DL,LGA,845,0.0
8,2,DL,LGA,1359,0.0
8,2,DL,LGA,1630,0.0
8,2,YX,JFK,1935,0.0
8,2,OO,LGA,1652,0.0
8,2,OO,LGA,1107,0.0
8,2,OO,LGA,1915,0.0
8,2,OO,HPN,1803,0.0
8,2,OO,HPN,1200,0.0
8,2,OO,HPN,620,0.0
8,2,UA,LGA,1815,0.0
8,2,UA,LGA,1300,0.0
8,2,UA,LGA,900,0.0
8,2,UA,LGA,2100,0.0
8,2,UA,LGA,1005,0.0
8,2,UA,LGA,800,0.0
8,2,UA,LGA,630,0.0
8,2,UA,LGA,1500,0.0
8,2,YX,LGA,700,0.0
8,3,AA,LGA,1130,0.0
8,3,AA,JFK,900,0.0
8,3,AA,JFK,1600,0.0
8,3,AA,LGA,1830,42.0
8,3,AA,LGA,730,16.0
8,3,AA,LGA,600,0.0
8,3,AA,LGA,1630,0.0
8,3,AA,LGA,930,0.0
8,3,AA,LGA,1430,0.0
8,3,AA,LGA,830,0.0
8,3,AA,LGA,1030,0.0
8,3,AA,LGA,1530,76.0
8,3,AA,LGA,1730,163.0
8,3,AA,LGA,1330,0.0
8,3,AA,LGA,1930,52.0
8,3,AA,LGA,1230,1.0
8,3,AA,LGA,2030,39.0
8,3,OO,HPN,705,0.0
8,3,OO,HPN,1200,0.0
8,3,OO,HPN,1630,0.0
8,3,B6,JFK,807,0.0
8,3,B6,JFK,1321,8.0
8,3,9E,JFK,1155,0.0
8,3,9E,JFK,1459,0.0
8,3,9E,JFK,900,0.0
8,3,DL,LGA,1830,1.0
8,3,DL,LGA,1200,10.0
8,3,DL,LGA,1630,0.0
8,3,DL,LGA,730,0.0
8,3,DL,LGA,2045,74.0
8,3,DL,LGA,1359,0.0
8,3,DL,LGA,845,0.0
8,3,DL,LGA,600,0.0
8,3,OO,LGA,1915,78.0
8,3,OO,LGA,1107,0.0
8,3,OO,LGA,1652,14.0
8,3,OO,HPN,1803,2.0
8,3,OO,HPN,1200,0.0
8,3,OO,HPN,620,0.0
8,3,UA,LGA,1815,38.0
8,3,UA,LGA,1300,0.0
8,3,UA,LGA,900,0.0
8,3,UA,LGA,1005,0.0
8,3,UA,LGA,800,0.0
8,3,UA,LGA,630,0.0
8,3,UA,LGA,1500,0.0
8,3,UA,LGA,2100,65.0
8,3,YX,LGA,700,0.0
8,4,AA,JFK,900,73.0
8,4,AA,JFK,1600,69.0
8,4,AA,LGA,930,0.0
8,4,AA,LGA,1130,0.0
8,4,AA,LGA,730,0.0
8,4,AA,LGA,830,0.0
8,4,AA,LGA,1430,20.0
8,4,AA,LGA,600,0.0
8,4,AA,LGA,1030,0.0
8,4,AA,LGA,1530,0.0
8,4,AA,LGA,2030,0.0
8,4,AA,LGA,1630,1.0
8,4,AA,LGA,1230,13.0
8,4,AA,LGA,1330,5.0
8,4,AA,LGA,1730,0.0
8,4,AA,LGA,1930,0.0
8,4,OO,HPN,1630,0.0
8,4,OO,HPN,1200,0.0
8,4,OO,HPN,705,0.0
8,4,B6,JFK,1321,0.0
8,4,B6,JFK,807,0.0
8,4,9E,JFK,1459,0.0
8,4,9E,JFK,1155,0.0
8,4,9E,JFK,900,0.0
8,4,DL,LGA,1830,0.0
8,4,DL,LGA,1630,0.0
8,4,DL,LGA,845,0.0
8,4,DL,LGA,730,0.0
8,4,DL,LGA,600,0.0
8,4,DL,LGA,1200,91.0
8,4,DL,LGA,1359,4.0
8,4,DL,LGA,2045,28.0
8,4,YX,JFK,1935,0.0
8,4,OO,LGA,1915,0.0
8,4,OO,LGA,1107,0.0
8,4,OO,LGA,1652,0.0
8,4,OO,HPN,620,0.0
8,4,OO,HPN,1200,0.0
8,4,UA,LGA,1815,0.0
8,4,UA,LGA,1300,13.0
8,4,UA,LGA,1005,0.0
