"MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","ORIGIN","DEST","CRS_DEP_TIME","DEP_DELAY_NEW"
"10","1","AA","LGA","ORD","1343","0.0"
"7","1","DL","LGA","ORD","845","0.0"
"7","1","B6","JFK","LAX","900","16.0"
"8","3","DL","LGA","ORD","845","0.0"
"12","5","DL","JFK","LAX","700","10.0"
"6","1","UA","LGA","ORD","1820","7.0"
"11","2","DL","LGA","ORD","1830","0.0"
"7","2","DL","LGA","ATL","1859","66.0"
"12","3","AA","LGA","DFW","1855","59.0"
"2","4","UA","LGA","ORD","1800","0.0"
"2","2","DL","JFK","PHX","700","0.0"
"6","7","AA","JFK","PHX","1324","88.0"
"6","6","B6","JFK","ATL","930","12.0"
"5","5","DL","LGA","ATL","600","0.0"
"11","6","DL","LGA","ATL","1000","14.0"
"6","7","DL","JFK","DFW","830","0.0"
"2","5","UA","LGA","ORD","1100","5.0"
"5","3","AA","LGA","DFW","1000","0.0"
"5","2","B6","JFK","ATL","820","0.0"
"8","3","B6","JFK","ATL","900","61.0"
"4","4","DL","LGA","ATL","2010","5.0"
"7","6","DL","LGA","ORD","1855","0.0"
"8","4","DL","JFK","LAX","1515","0.0"
"9","2","B6","JFK","LAX","925","0.0"
"3","1","F9","LGA","ATL","1059","0.0"
"6","2","DL","JFK","LAX","2210","44.0"
"8","3","B6","JFK","LAX","1059","0.0"
"7","3","AA","LGA","ORD","1430","5.0"
"6","3","UA","LGA","ORD","1111","0.0"
"7","1","DL","JFK","LAX","1700","46.0"
"7","1","B6","LGA","ATL","1705","19.0"
"11","4","OO","LGA","ORD","1105","0.0"
"8","3","DL","JFK","ATL","2215","39.0"
"8","5","AA","LGA","ORD","2030","31.0"
"11","3","AA","LGA","DFW","1839","5.0"
"8","2","AA","LGA","DFW","929","0.0"
"3","7","DL","LGA","ATL","2000","3.0"
"9","5","DL","LGA","ORD","2045","0.0"
"8","3","DL","LGA","DFW","810","0.0"
"6","6","AA","JFK","LAX","959","27.0"
"10","5","DL","LGA","ATL","1359","0.0"
"10","1","AA","LGA","ORD","2030","30.0"
"6","7","DL","JFK","PHX","1841","15.0"
"12","7","DL","JFK","LAX","1045","53.0"
"4","5","AA","LGA","DFW","1755","0.0"
"10","2","DL","LGA","ATL","1500","0.0"
"5","3","DL","JFK","LAX","1535","0.0"
"8","7","DL","LGA","DFW","1510","18.0"
"8","3","AA","JFK","LAX","1530","3.0"
"9","6","AA","LGA","ORD","1630","0.0"
"12","6","AA","JFK","PHX","1320","27.0"
"6","3","DL","JFK","LAX","700","0.0"
"11","6","NK","LGA","DFW","1200","0.0"
"5","7","B6","JFK","ATL","1530","0.0"
"12","6","OO","LGA","ORD","1005","4.0"
"12","4","B6","JFK","ORD","630","66.0"
"9","3","DL","LGA","ORD","610","0.0"
"8","1","WN","LGA","ATL","1550","86.0"
"8","4","DL","JFK","LAX","1759","0.0"
"8","3","DL","LGA","DFW","1950","0.0"
"10","4","DL","JFK","LAX","840","0.0"
"7","6","DL","JFK","ATL","600","0.0"
"11","3","AA","LGA","DFW","825","47.0"
"7","5","DL","JFK","PHX","1845","0.0"
"6","3","B6","JFK","PHX","1947","0.0"
"6","3","B6","LGA","ATL","1330","0.0"
"3","4","AA","LGA","ORD","1030","0.0"
"2","1","DL","LGA","DFW","1220","0.0"
"10","1","DL","LGA","ATL","845","0.0"
"7","4","B6","JFK","LAX","529","0.0"
"12","5","DL","JFK","ATL","2300","58.0"
"5","6","UA","LGA","ORD","1000","2.0"
"12","6","AA","JFK","ORD","1728","0.0"
"7","7","AA","JFK","LAX","600","0.0"
"12","1","DL","LGA","ATL","1159","5.0"
"5","3","AA","LGA","ORD","1846","0.0"
"4","3","WN","LGA","ATL","1755","38.0"
"10","3","DL","LGA","ATL","1200","0.0"
"9","7","B6","JFK","LAX","1100","0.0"
